Year,Country,Industry,AI_Startups,Job_Postings,Skill,Avg_Salary_USD,Tool,Popularity_Score,Investment_Million_USD,Growth_Rate_%
2020,Israel,Manufacturing,243,17588,NLP,109620,Gemini,86,702.7,26.88
2025,Canada,IT,84,10837,NLP,84854,Bard,75,554,25.62
2024,UAE,Telecom,131,9298,Data Science,129086,Copilot,84,916.7,13.74
2025,India,Healthcare,477,19564,Cloud Computing,89104,TensorFlow,57,966.6,24.81
2021,Turkey,Manufacturing,127,2991,NLP,60172,Bard,58,607.5,14.1
2024,Brazil,IT,262,9577,AI Tools,120348,TensorFlow,67,606.5,15.55
2020,South Africa,Manufacturing,305,13724,Python,142275,TensorFlow,84,405.3,7.78
2025,Canada,Retail,283,8496,Data Science,63604,Copilot,97,833.8,23.81
2024,Brazil,IT,322,4388,NLP,138776,Bard,98,806.7,17.11
2023,Italy,Manufacturing,339,19387,Machine Learning,91905,Copilot,53,522.2,11.04
2021,USA,Telecom,232,16635,NLP,125234,ChatGPT,62,460.4,17.12
2021,UAE,Retail,192,5035,NLP,131405,ChatGPT,88,988.3,11.32
2021,Norway,Education,79,7887,Cloud Computing,130532,Copilot,64,843.1,14.52
2020,India,Automotive,301,16430,Machine Learning,129877,Claude,96,843.4,19.86
2021,Switzerland,Healthcare,177,11695,Cloud Computing,70875,Copilot,95,194.7,20.52
2022,India,Education,181,11997,Machine Learning,115483,TensorFlow,58,938.1,21.82
2022,Spain,Manufacturing,207,19323,Data Science,113830,PyTorch,92,814.7,22.23
2023,India,IT,456,17730,Cloud Computing,126031,TensorFlow,77,637.9,8.11
2021,Switzerland,Retail,398,10961,Cloud Computing,135456,Claude,98,379.9,17.45
2022,Singapore,Retail,166,17948,Machine Learning,63851,Bard,72,988.5,10.31
2024,Germany,Healthcare,429,9701,Machine Learning,131689,PyTorch,74,215.4,6.45
2025,Denmark,Automotive,106,11063,AI Tools,82170,PyTorch,75,877.3,29.78
2024,Italy,Finance,434,17144,Python,98933,Bard,69,612,9.58
2024,India,Healthcare,196,2644,NLP,132301,Gemini,86,781.8,16.53
2023,Italy,IT,499,15569,Python,149754,Bard,73,485.6,25.52
2024,Canada,Finance,316,3359,NLP,87835,Gemini,95,526.8,12.87
2020,Germany,IT,425,11760,Cloud Computing,146103,Copilot,50,926,21.07
2025,Denmark,Manufacturing,114,11385,Data Science,127806,ChatGPT,99,912.2,14.78
2022,UAE,Telecom,252,14806,Python,115195,Gemini,79,113.3,15.12
2023,Netherlands,Education,157,5583,AI Tools,145437,Copilot,93,863.1,18.56
2020,Norway,Manufacturing,258,16819,Data Science,131392,Bard,68,229.9,21.72
2021,Finland,IT,204,8576,AI Tools,122720,ChatGPT,50,125.4,22.49
2025,Indonesia,Finance,243,17608,AI Tools,142788,TensorFlow,55,600.4,15.98
2022,Italy,Healthcare,366,12260,Cloud Computing,133792,Gemini,91,432.3,19.59
2020,USA,IT,250,14730,Machine Learning,134871,PyTorch,88,323.6,25.93
2021,UAE,Automotive,119,2674,Machine Learning,128019,TensorFlow,99,691.7,8.68
2024,Spain,Education,405,15918,NLP,118443,Copilot,70,454,16.51
2022,China,Retail,51,19054,Cloud Computing,69648,Bard,53,245.2,28.04
2020,Finland,Telecom,72,14718,NLP,127182,PyTorch,98,639.1,24.59
2021,Singapore,Retail,221,17895,Data Science,113832,TensorFlow,61,248.3,6.44
2020,Germany,Automotive,492,11101,Python,114948,Gemini,57,951.8,19.28
2025,Russia,Finance,165,5803,Python,124301,ChatGPT,92,989.1,23.58
2024,Denmark,IT,384,16665,AI Tools,122615,ChatGPT,85,118.6,16.93
2023,China,Finance,298,8780,Data Science,136678,PyTorch,75,608.5,22.53
2025,Denmark,Healthcare,144,11020,Python,76605,Claude,54,108.7,17.66
2020,Switzerland,Manufacturing,142,7244,Cloud Computing,130831,TensorFlow,98,709.8,16.94
2024,Australia,Telecom,237,9449,Cloud Computing,140812,Claude,77,168.9,14.69
2025,UAE,Retail,197,13150,Python,95031,Copilot,63,182.6,7.15
2021,Italy,Telecom,451,17995,Cloud Computing,121615,Gemini,51,470.8,17.72
2022,Mexico,IT,85,14210,Cloud Computing,126320,TensorFlow,74,435.6,10.71
2024,Indonesia,Healthcare,365,14936,Data Science,96526,Bard,65,190.4,11.55
2021,Brazil,Healthcare,133,18791,Machine Learning,78504,Copilot,84,559.7,15.8
2023,Switzerland,Telecom,135,13489,AI Tools,107982,Gemini,69,516.7,16.68
2023,Canada,Healthcare,260,7511,AI Tools,133539,Gemini,61,554.5,11.7
2023,Norway,Finance,470,8507,Data Science,65678,PyTorch,55,902,26.62
2025,Switzerland,Healthcare,475,4543,NLP,127769,Copilot,58,784.4,24.89
2025,India,Finance,136,15474,Python,94772,Claude,57,341.1,29.36
2020,South Africa,Education,261,4280,Python,62861,Claude,81,535.4,16.59
2022,Singapore,Finance,189,1882,Data Science,141961,TensorFlow,53,543.9,27.39
2022,Spain,IT,219,8699,NLP,84424,PyTorch,50,740.5,27.11
2024,Netherlands,Retail,273,17922,Machine Learning,75187,ChatGPT,70,610.7,29.18
2022,Singapore,Education,370,9973,NLP,84741,Gemini,71,853.3,13.07
2024,Sweden,Automotive,478,7285,Data Science,122278,Copilot,73,948.6,22.75
2024,South Korea,Finance,496,6284,Machine Learning,143174,Claude,80,700,23.44
2020,Denmark,Retail,451,10305,Cloud Computing,149035,Claude,61,93.2,10.64
2022,Turkey,Telecom,447,5391,Cloud Computing,134692,ChatGPT,72,167.8,18.83
2022,Denmark,Telecom,89,2776,Machine Learning,132966,Gemini,98,990.4,26.53
2020,USA,Automotive,87,13638,Data Science,121794,Bard,64,827.4,20.55
2023,India,IT,138,19744,Data Science,69386,Copilot,80,94,27.32
2024,Netherlands,Finance,320,8286,Cloud Computing,116498,PyTorch,64,449.7,17.48
2023,Netherlands,Telecom,113,6868,Cloud Computing,67382,ChatGPT,63,636.4,20.72
2021,Spain,Retail,413,2930,Cloud Computing,121015,TensorFlow,84,941.3,19.72
2021,India,Automotive,223,11341,Cloud Computing,139988,Gemini,97,790.8,13.63
2022,Norway,Healthcare,447,6913,Data Science,143591,Gemini,79,662.2,8.49
2022,Turkey,Telecom,282,8381,AI Tools,139233,Claude,70,252.1,28.07
2025,Switzerland,Telecom,498,6481,NLP,126854,Gemini,93,726.1,11.39
2024,Spain,Education,469,15314,Python,103694,Gemini,71,803.2,28.58
2021,Brazil,Education,50,7751,Python,126928,ChatGPT,81,557.3,11.78
2021,Indonesia,Manufacturing,63,10527,Machine Learning,88693,Bard,64,666.6,25.3
2024,Italy,Automotive,144,14465,Cloud Computing,145710,Bard,91,468.2,28.96
2020,South Korea,Retail,325,14545,Data Science,113413,ChatGPT,50,204,27.3
2025,Australia,Education,235,4095,AI Tools,121094,Gemini,63,82.5,7.44
2020,Brazil,Healthcare,169,11340,Cloud Computing,144567,TensorFlow,95,626.8,20.47
2021,South Korea,Finance,207,12139,AI Tools,141257,TensorFlow,60,265.1,20.31
2022,Spain,Finance,443,13649,AI Tools,120950,Claude,88,420.6,16
2020,Finland,Automotive,320,14810,Cloud Computing,99045,Copilot,78,385.6,27.87
2021,South Korea,Manufacturing,174,14535,Data Science,82948,ChatGPT,86,810.4,11.8
2020,Germany,Healthcare,98,13698,Cloud Computing,69739,Claude,80,74.8,6.33
2024,Turkey,Telecom,354,15445,NLP,132179,Claude,88,754.6,16.12
2025,Israel,Healthcare,52,13679,Cloud Computing,124056,Gemini,59,985.2,9.58
2021,Mexico,IT,150,16976,Machine Learning,78158,Gemini,87,481.8,13.67
2020,India,IT,128,10752,Data Science,63794,PyTorch,85,853.3,13.21
2020,Switzerland,Healthcare,123,9583,Python,143074,ChatGPT,89,861.1,13.43
2025,Italy,Finance,226,14224,NLP,95742,Claude,100,213.5,25.98
2022,Indonesia,Retail,53,14030,Data Science,142263,TensorFlow,93,668.2,26.81
2024,France,IT,388,16804,Machine Learning,148526,Claude,88,365.3,6.05
2023,Indonesia,IT,477,13960,Data Science,135338,Gemini,91,502.8,29.83
2023,Singapore,Automotive,284,15633,Machine Learning,119822,Copilot,97,755.9,23.04
2024,Switzerland,Finance,77,2301,AI Tools,73247,Copilot,74,622.3,29.19
2023,Turkey,Education,500,7623,Python,61804,TensorFlow,69,977,23.35
2023,Turkey,IT,145,3635,NLP,147042,Bard,92,678.8,8
2021,Singapore,Finance,382,9241,Data Science,140599,PyTorch,52,673.2,16.39
2022,Spain,Retail,197,1678,Machine Learning,80150,TensorFlow,62,871.8,24.38
2025,Sweden,Telecom,289,9700,AI Tools,122496,Bard,61,402.7,25.57
2021,Netherlands,Retail,388,11946,Data Science,71778,Claude,67,886.6,5.01
2022,India,Finance,100,15935,Cloud Computing,74311,TensorFlow,64,770.1,22.83
2023,UAE,Education,97,16786,Data Science,149152,Bard,81,978,18.01
2022,Germany,Automotive,309,14847,Python,64461,ChatGPT,79,555.4,11.35
2023,Japan,Education,481,15683,Machine Learning,105573,ChatGPT,62,175.2,5.74
2025,Netherlands,Telecom,446,10477,Python,84845,Gemini,84,211.3,24.33
2020,Singapore,Finance,388,13076,Python,89535,ChatGPT,63,102.6,25.99
2023,Norway,Healthcare,113,13542,Cloud Computing,110448,Bard,89,621.1,26.77
2022,UAE,Automotive,240,18734,AI Tools,73155,PyTorch,71,671.3,26.29
2024,Japan,Healthcare,53,16142,Machine Learning,63233,Bard,95,528.6,13.78
2023,Finland,IT,375,5593,Cloud Computing,115222,ChatGPT,70,739.2,14.58
2024,Norway,Healthcare,481,13619,NLP,62216,TensorFlow,94,201.3,21.35
2020,UAE,Finance,98,4332,NLP,97963,ChatGPT,52,805.7,26.09
2025,South Africa,IT,434,10188,AI Tools,81758,Copilot,75,60.8,17.76
2020,Turkey,Telecom,349,10691,Python,147435,PyTorch,97,648.7,16.48
2023,Italy,Healthcare,80,5808,Machine Learning,91565,ChatGPT,71,69.6,16.58
2025,Australia,Manufacturing,466,16112,Cloud Computing,75469,Gemini,99,306.1,12.02
2023,France,Manufacturing,56,13465,Python,60042,Bard,87,856.6,11.27
2021,Singapore,Education,325,14445,NLP,129723,ChatGPT,68,898.1,9.49
2025,Turkey,Manufacturing,216,12231,Machine Learning,87810,ChatGPT,98,307.2,28.05
2023,South Africa,Retail,74,4387,AI Tools,76881,TensorFlow,100,621.3,10.66
2020,South Korea,Finance,201,14794,Cloud Computing,133290,PyTorch,74,895,26.86
2021,Denmark,Automotive,395,14578,Machine Learning,114007,Copilot,100,536.9,22.11
2024,Israel,IT,383,6850,Cloud Computing,72902,Copilot,63,890.1,12.4
2022,Italy,Education,253,12732,AI Tools,110533,PyTorch,83,666.7,27.87
2021,Italy,Education,196,5260,NLP,107433,PyTorch,58,832.1,14.24
2025,Singapore,Finance,455,5687,Machine Learning,144445,Bard,54,865.3,25.82
2022,Brazil,Healthcare,172,15708,Python,142236,Claude,57,817.8,18
2020,Indonesia,Retail,77,14954,Data Science,93452,Claude,56,435.2,11.77
2021,Singapore,IT,497,1567,AI Tools,76921,TensorFlow,61,370.5,19.86
2020,Brazil,Manufacturing,195,6803,Data Science,74698,TensorFlow,72,188.9,26.07
2020,South Africa,Telecom,91,9645,Python,96660,PyTorch,52,155.3,12.79
2022,Russia,Retail,383,6939,Machine Learning,122761,Gemini,92,624.9,17.11
2024,Mexico,Finance,68,12127,Python,122441,TensorFlow,67,374.8,9.51
2021,USA,Finance,310,1020,Python,84252,TensorFlow,68,437.1,6.41
2025,Russia,Healthcare,128,14445,Cloud Computing,140417,ChatGPT,97,682.3,16.77
2023,India,Retail,488,7025,Python,108082,Gemini,85,661.2,8.17
2024,Indonesia,IT,147,16682,Machine Learning,131747,TensorFlow,74,502.7,13.19
2022,South Africa,IT,76,9668,NLP,91104,Copilot,90,806.5,14.41
2021,UAE,Telecom,321,8180,AI Tools,128059,Bard,73,507.6,13.74
2021,Japan,Retail,317,3074,AI Tools,129678,TensorFlow,56,592.5,13.34
2022,Russia,Telecom,267,18073,Machine Learning,90722,Copilot,59,542.5,9.29
2025,Israel,Finance,110,17851,Data Science,114631,PyTorch,67,727.5,13.62
2024,Brazil,Telecom,299,11578,Data Science,119683,Copilot,79,175.5,28.63
2024,Brazil,Retail,481,7351,Cloud Computing,141164,Claude,96,346.9,29.42
2023,South Africa,Manufacturing,253,4659,AI Tools,83785,Gemini,73,367.2,11.58
2023,Netherlands,Education,254,1487,Machine Learning,88342,Claude,56,369.2,8.62
2021,Turkey,Finance,50,5400,AI Tools,120230,TensorFlow,96,772.2,28.48
2023,UK,Healthcare,223,9193,Machine Learning,115397,Claude,56,199,10.74
2025,Italy,Healthcare,61,4072,Cloud Computing,123167,Bard,53,382.2,21.33
2025,Norway,Finance,174,14120,Machine Learning,135006,Claude,88,885.4,22.43
2024,South Korea,Retail,497,4396,Cloud Computing,64733,TensorFlow,88,799.9,19.88
2022,Indonesia,Telecom,217,15529,Cloud Computing,64473,Bard,76,302.3,9.08
2020,Australia,Education,246,19360,Cloud Computing,114293,Claude,77,624.6,10.76
2021,USA,Automotive,166,11947,NLP,148774,Copilot,51,674.3,13.12
2020,Germany,Education,279,16148,Machine Learning,117350,Bard,55,222,11.22
2023,Norway,IT,403,6474,Cloud Computing,120375,PyTorch,94,402.8,12.82
2020,Switzerland,Healthcare,255,12900,Cloud Computing,124039,ChatGPT,84,327.8,27.91
2021,Brazil,Healthcare,201,13569,Python,90756,Copilot,77,215.1,18.98
2021,Netherlands,IT,128,1759,AI Tools,96641,ChatGPT,91,525.2,23.6
2025,Canada,Healthcare,309,19488,Machine Learning,68282,Copilot,84,349.9,22.86
2023,Sweden,Manufacturing,78,3981,Python,67273,Gemini,58,340.6,26.43
2025,South Korea,Manufacturing,411,7542,NLP,77799,PyTorch,90,101.7,26.89
2024,Japan,Manufacturing,408,18467,NLP,117940,PyTorch,61,415.2,16.52
2023,Italy,IT,420,5607,Machine Learning,85657,ChatGPT,63,226.7,25.26
2024,Brazil,Retail,230,11465,AI Tools,126637,Gemini,73,555.6,24.74
2020,Singapore,Healthcare,210,6964,Cloud Computing,106049,PyTorch,54,623.3,16.23
2023,Netherlands,Finance,469,17554,Cloud Computing,117341,PyTorch,58,375.2,26.53
2020,Singapore,Manufacturing,248,17644,NLP,109335,PyTorch,95,87.1,24.43
2024,South Korea,Healthcare,383,13457,Python,63759,Copilot,77,552.1,28.02
2024,Norway,Automotive,370,1047,Data Science,142977,Claude,88,105.3,18.24
2020,Finland,Education,228,11613,Machine Learning,112439,ChatGPT,55,132.2,29.45
2020,Sweden,Automotive,238,18055,Python,142169,TensorFlow,92,803.4,26.55
2021,Spain,Education,170,13599,AI Tools,76276,Copilot,91,369.4,11.71
2023,Netherlands,Healthcare,153,4919,AI Tools,135559,ChatGPT,61,331.8,14.13
2025,USA,Retail,148,16579,Machine Learning,72021,Gemini,51,955.6,10.89
2021,Finland,Automotive,261,10363,Machine Learning,133788,Bard,62,242.8,22.54
2020,Israel,Healthcare,381,1717,Machine Learning,129687,ChatGPT,89,860.9,5.79
2022,Russia,Finance,319,1068,Cloud Computing,89053,Gemini,54,782.3,13.25
2020,Singapore,Finance,273,8540,Machine Learning,120266,PyTorch,55,713.5,16.69
2023,Singapore,Education,58,3227,Python,92199,ChatGPT,97,132.4,9.68
2024,Brazil,Finance,60,15439,Data Science,118312,Gemini,98,74.5,16.19
2022,Italy,Healthcare,99,13256,Python,106824,Claude,74,334.3,24.37
2023,Norway,IT,257,7306,Machine Learning,94318,ChatGPT,66,450.8,9.23
2024,Canada,Education,155,14281,Python,60045,Gemini,75,529.4,29.96
2023,Netherlands,Education,168,11526,NLP,78423,ChatGPT,77,647.7,12.93
2021,Brazil,Healthcare,435,12427,NLP,141423,Gemini,54,978.9,6.21
2025,Norway,Telecom,438,7206,AI Tools,149093,Copilot,68,63,10.2
2022,South Korea,Finance,224,8334,Python,137874,Bard,95,987.3,14.41
2024,Germany,Telecom,163,10919,Machine Learning,97582,Claude,87,379.8,12.25
2023,Canada,Retail,53,1041,Cloud Computing,77546,Copilot,70,409.3,12.77
2022,UAE,Automotive,391,7708,Machine Learning,90884,ChatGPT,99,73.1,15.63
2023,China,Retail,147,6539,Python,69966,PyTorch,85,699.9,13.38
2023,Sweden,Finance,467,4206,Data Science,80492,Gemini,83,568.4,24.59
2022,Denmark,Finance,143,15757,Machine Learning,70721,Copilot,71,323.5,12.83
2025,Italy,Education,108,14933,Cloud Computing,96149,TensorFlow,59,982,24.17
2021,South Africa,Education,246,17624,Python,77390,ChatGPT,86,832.5,15.16
2024,Japan,Healthcare,205,3668,NLP,61150,Claude,87,302.8,21.01
2024,Japan,Manufacturing,408,19197,Cloud Computing,115916,ChatGPT,80,463.5,15.93
2023,Italy,Manufacturing,90,12502,Data Science,90386,Claude,79,913.5,25.51
2020,Brazil,Telecom,215,7673,Cloud Computing,102099,TensorFlow,56,193.2,26.68
2024,Sweden,Finance,65,3434,NLP,115267,PyTorch,96,184.7,14.29
2022,Denmark,Retail,245,16854,NLP,86805,Bard,56,592.5,24.7
2022,Germany,Retail,356,1141,Machine Learning,146115,TensorFlow,80,767.7,12.5
2020,Mexico,Education,196,10534,Cloud Computing,146821,Claude,93,486.1,23.57
2025,Switzerland,IT,217,10704,Cloud Computing,63481,TensorFlow,85,804.5,17.3
2024,Spain,Manufacturing,324,3713,Machine Learning,76205,ChatGPT,96,809.8,5.71
2022,China,Manufacturing,450,8682,Cloud Computing,61770,TensorFlow,88,202.3,23.22
2024,Australia,Education,500,8656,AI Tools,132242,Bard,84,208.6,22.55
2021,South Korea,Education,425,9756,Data Science,78381,TensorFlow,53,661.2,5.77
2022,France,Education,287,8954,Machine Learning,138325,Gemini,78,737.8,13.23
2020,Brazil,Telecom,77,17183,Machine Learning,140712,TensorFlow,98,597,16.59
2021,France,Telecom,227,8571,AI Tools,112044,Bard,89,471.6,28.94
2025,Italy,Retail,143,17275,NLP,78795,Bard,62,130.9,5.23
2020,Japan,Finance,59,14764,Machine Learning,144931,ChatGPT,75,492.5,14.55
2023,Spain,Education,497,19130,Machine Learning,142640,Gemini,91,652.6,20.67
2024,Sweden,Healthcare,85,16151,Cloud Computing,109826,TensorFlow,66,210.4,27.38
2020,Mexico,Healthcare,292,17015,Machine Learning,68107,Copilot,50,418.6,18.13
2020,Italy,Telecom,241,6386,Cloud Computing,65639,ChatGPT,81,478.7,20.59
2022,China,Retail,455,5029,Machine Learning,60206,Bard,77,106.5,21.07
2022,Italy,Manufacturing,323,18249,AI Tools,112636,Claude,67,931.7,14.24
2021,UK,Manufacturing,289,15333,AI Tools,64010,TensorFlow,79,864.4,17.59
2024,USA,Manufacturing,340,7174,Data Science,134737,Claude,62,882.2,21.06
2020,Australia,Telecom,264,9024,Cloud Computing,128095,PyTorch,63,169.4,8.13
2021,China,Automotive,94,12682,Python,80418,TensorFlow,67,616.8,27.48
2022,Australia,Telecom,429,8092,Data Science,144279,ChatGPT,68,219.5,18.66
2025,Canada,Finance,70,18913,AI Tools,83257,ChatGPT,86,871.1,22.28
2020,Canada,Telecom,162,11069,Python,100652,Claude,52,160.2,20.45
2021,UAE,Manufacturing,310,18468,Cloud Computing,97269,TensorFlow,88,75.7,24.64
2025,South Africa,Retail,77,15937,Machine Learning,143021,Gemini,65,612.9,27.67
2021,Sweden,Healthcare,69,2583,NLP,86176,Gemini,88,127.2,5.36
2020,Israel,IT,448,17492,NLP,121285,ChatGPT,52,316.5,21.16
2025,Italy,Telecom,386,11239,NLP,123464,Gemini,92,994.5,11.94
2020,Switzerland,Automotive,114,12703,AI Tools,97466,Copilot,61,489.3,9.34
2021,Russia,Finance,369,6096,Python,87377,Bard,71,165,29.65
2025,Singapore,Automotive,388,6644,Python,138425,ChatGPT,91,878.2,6.07
2024,Singapore,Education,168,16125,Python,82843,TensorFlow,92,338.7,19.37
2024,Sweden,IT,435,13748,Data Science,142139,ChatGPT,73,184.5,13.63
2024,Turkey,Manufacturing,398,9160,Python,132344,TensorFlow,62,329.6,19.77
2025,Singapore,Finance,230,18332,Python,120149,TensorFlow,87,505.1,21.84
2024,Denmark,Automotive,265,7427,Data Science,84139,TensorFlow,53,668.5,25.82
2022,UAE,Education,50,17906,AI Tools,127450,Bard,66,292,9.73
2020,India,Finance,240,17813,AI Tools,80383,Bard,58,117.2,19.02
2021,Mexico,Retail,80,12484,Python,120143,TensorFlow,50,302.1,9.87
2025,China,Healthcare,228,16010,Python,138207,Bard,89,289.9,25.98
2022,Singapore,Automotive,247,14913,Cloud Computing,68727,Copilot,71,267.2,22.77
2020,UK,Healthcare,382,14188,Python,63536,Gemini,66,960.2,10.91
2022,Indonesia,Healthcare,444,10470,Machine Learning,102641,PyTorch,84,240.8,16.18
2020,Turkey,Healthcare,281,1941,Python,140564,PyTorch,72,568.8,25.45
2021,France,Healthcare,117,3446,Python,63320,Bard,95,565.2,15.65
2024,Russia,Education,80,4890,Data Science,77908,Gemini,92,641.7,8.54
2020,Mexico,Education,52,11557,Machine Learning,135304,Claude,76,858.1,24.87
2022,Japan,Healthcare,317,2352,Machine Learning,145359,PyTorch,66,674.8,16.05
2020,Germany,Education,283,9800,Python,124985,Claude,94,265.9,17.5
2021,UAE,Retail,453,19517,AI Tools,82455,Gemini,71,83.2,14.88
2022,Australia,Telecom,465,13803,AI Tools,106239,Gemini,86,741,10.8
2020,UAE,IT,489,3017,Cloud Computing,121007,Copilot,84,243.5,19.76
2021,Canada,Retail,359,17033,NLP,105607,Bard,54,287.5,22.03
2021,Indonesia,Automotive,262,15770,Machine Learning,142870,Bard,52,408.7,7.72
2023,Finland,Automotive,461,16401,Python,127137,Claude,100,77.9,28.04
2020,Brazil,Education,473,2468,NLP,146065,TensorFlow,53,720.1,26.39
2025,Australia,Education,333,13654,NLP,118417,Bard,71,204,23.27
2022,Switzerland,Education,296,6547,Python,129418,TensorFlow,52,442.7,9.73
2020,UAE,Education,426,14566,AI Tools,102118,Bard,85,558.5,14.25
2021,Japan,Retail,216,13521,Python,136249,Gemini,62,282.7,20.33
2021,Indonesia,Healthcare,414,15127,Python,92966,Claude,50,317.1,19.15
2023,Israel,Automotive,491,11780,Cloud Computing,143547,ChatGPT,93,314.9,7.86
2024,Singapore,Automotive,179,4419,AI Tools,147524,Bard,71,220.6,25.19
2025,Netherlands,Education,68,16735,AI Tools,66352,PyTorch,58,893.7,14.13
2021,UAE,Finance,242,1932,AI Tools,142371,Bard,94,999,12.78
2021,South Korea,Finance,451,4418,Machine Learning,146446,TensorFlow,67,612.6,17.19
2020,Netherlands,Healthcare,429,7638,Python,126719,Copilot,68,823.7,20.44
2024,Singapore,Telecom,460,3930,Python,112014,Gemini,96,598.2,26.4
2023,Australia,Manufacturing,402,14181,NLP,96825,Copilot,61,822.3,6.32
2024,Singapore,Automotive,249,8354,Cloud Computing,108481,ChatGPT,56,610.5,22.16
2024,Turkey,Retail,400,6038,Machine Learning,140545,TensorFlow,92,290,19.86
2020,Italy,Telecom,354,13837,Python,64569,Claude,57,800.6,24.21
2024,Finland,Retail,161,15266,AI Tools,126191,Copilot,70,411.3,28.98
2022,Sweden,Retail,259,11347,AI Tools,134553,Bard,72,284.9,21.63
2025,Netherlands,Finance,441,9862,NLP,105218,Copilot,54,424.3,14.82
2025,Israel,Education,58,17756,NLP,80056,Copilot,72,109.2,24.87
2022,South Korea,Finance,101,18734,AI Tools,102522,Bard,90,603.4,24.53
2022,Japan,Finance,412,13779,AI Tools,107356,Bard,65,749,16.98
2025,South Korea,IT,119,15101,Machine Learning,108936,TensorFlow,60,494.3,21.49
2025,Norway,Automotive,197,16023,Cloud Computing,91990,Copilot,93,425.8,28.53
2024,Canada,IT,70,6844,NLP,95043,Bard,57,352.8,11.06
2020,Italy,Manufacturing,59,15993,Data Science,92227,Bard,81,616.8,9.28
2021,China,IT,366,3351,Data Science,96896,Gemini,54,704.5,24.19
2022,Sweden,Telecom,155,15892,NLP,68766,Gemini,84,123.4,11.06
2021,Germany,Automotive,327,13356,NLP,142017,Gemini,53,548.2,22.55
2023,Switzerland,Retail,188,17500,AI Tools,96851,PyTorch,78,421.5,12.38
2020,Denmark,Automotive,257,16491,Python,60784,Claude,74,706.8,23.74
2020,Israel,Education,252,9558,AI Tools,89572,Copilot,88,149.5,24.26
2025,Germany,Education,184,3994,NLP,137647,PyTorch,81,664.7,6.07
2020,Italy,IT,480,10062,Data Science,120959,Bard,52,512.1,12.57
2020,France,Education,211,7742,NLP,109923,Gemini,70,507.3,10.5
2025,India,Education,204,12295,Data Science,132081,ChatGPT,73,146.4,13.38
2021,South Korea,IT,408,11738,Cloud Computing,122804,ChatGPT,76,632,10.78
2024,South Korea,Education,283,3266,AI Tools,142599,PyTorch,55,907.3,12.86
2022,Germany,IT,326,18825,Cloud Computing,94316,TensorFlow,63,367.5,26.22
2023,USA,Education,248,3719,Machine Learning,146649,Claude,56,677,8.47
2020,Finland,Healthcare,435,17334,Cloud Computing,102345,Gemini,94,721.9,29.77
2022,China,Education,343,2415,Data Science,123267,ChatGPT,74,789.3,15.5
2020,Singapore,IT,270,2913,NLP,80892,Copilot,92,511,27.44
2021,Japan,Finance,159,6416,Data Science,116339,Bard,54,332.3,19.27
2023,South Korea,Healthcare,253,17216,NLP,120242,Gemini,98,97.9,16.97
2024,Netherlands,Education,157,2486,Cloud Computing,70612,Gemini,82,176.1,14.17
2025,Italy,Automotive,388,4635,Cloud Computing,91735,Claude,53,707.9,27.75
2023,UK,Healthcare,330,19654,Cloud Computing,136331,Copilot,61,821.9,6.07
2021,India,Finance,286,1196,Data Science,144957,Bard,80,824.9,20.26
2020,Israel,Telecom,384,2925,NLP,101606,Copilot,67,558,22.7
2023,Spain,Retail,339,2042,AI Tools,115292,PyTorch,82,764.7,5.17
2024,Netherlands,Education,372,13503,Machine Learning,130562,Bard,85,426.9,23.3
2025,India,IT,155,9379,AI Tools,109441,Claude,87,565.2,12.38
2021,Mexico,Automotive,63,5719,Cloud Computing,94654,Bard,60,431.3,29.42
2024,South Africa,Education,277,16232,Machine Learning,95429,Gemini,66,140.2,21.07
2021,South Korea,Education,411,6214,Cloud Computing,89059,Bard,100,206.4,18.78
2023,Indonesia,Education,202,15620,AI Tools,72787,Copilot,71,954.6,22.99
2022,Sweden,Automotive,55,4484,Machine Learning,146657,PyTorch,96,530.3,20.19
2025,UK,Retail,64,7516,Machine Learning,63626,ChatGPT,65,289.4,9.56
2025,Turkey,Manufacturing,159,10653,AI Tools,137323,PyTorch,54,712.9,15.9
2022,Brazil,Healthcare,462,9037,NLP,62117,PyTorch,51,141,13.84
2024,Switzerland,Education,334,16202,Cloud Computing,83861,TensorFlow,74,905.8,24.9
2021,South Africa,Healthcare,125,9594,Data Science,121454,Gemini,59,179.1,17.68
2024,South Africa,Automotive,407,4201,Data Science,82366,ChatGPT,90,215.5,24.36
2020,South Africa,Automotive,437,5034,Data Science,94887,Bard,53,792.6,10.47
2024,Canada,IT,131,11007,Cloud Computing,134591,ChatGPT,66,666.5,13.79
2024,South Africa,Education,434,4076,Data Science,122973,Copilot,64,971.2,7.39
2025,UAE,Retail,81,16454,Machine Learning,103228,ChatGPT,84,830.3,10.83
2022,South Africa,Automotive,301,19816,Cloud Computing,105809,Claude,50,951,7.42
2021,India,Telecom,249,8730,Cloud Computing,86469,Gemini,97,744.7,25.51
2023,Italy,Manufacturing,182,7583,NLP,74685,ChatGPT,82,506.7,10.5
2023,Brazil,Healthcare,361,18240,NLP,89336,Gemini,89,770.2,11.41
2024,USA,Education,125,10705,Data Science,122250,PyTorch,74,723.3,19.72
2025,Spain,Manufacturing,431,19517,Python,61608,Copilot,68,388.2,25.25
2020,France,Manufacturing,139,11298,Python,91087,Copilot,67,650.8,27.01
2025,Sweden,IT,230,16760,NLP,124772,PyTorch,50,716.6,16.62
